product_id,source_unit_id,result_unit_id,source_quantity,result_quantity
6773,4,14,110.000000,1.000000
6758,4,14,110.000000,1.000000
6773,3,14,115.000000,1.000000
2348,1,5,0.914400,1.000000
194,1,5,0.914400,1.000000
6636,1,5,0.914400,1.000000
832,1,5,0.914400,1.000000
7880,1,5,0.914400,1.000000
7869,1,5,0.914400,1.000000
3906,1,5,0.914400,1.000000
8166,1,5,0.914400,1.000000
793,1,5,0.914400,1.000000
904,1,5,0.914400,1.000000
8174,4,9,5000.000000,1.000000
74,1,5,0.914400,1.000000
1050,1,5,0.914400,1.000000
29,1,5,0.914400,1.000000
3701,1,5,0.914400,1.000000
3759,1,5,0.914400,1.000000
3811,1,5,0.914400,1.000000
3743,1,5,0.914400,1.000000
3531,2,6,1.000000,1.000000
8285,1,5,0.914400,1.000000
1242,1,5,0.914000,1.000000
1240,1,5,0.914000,1.000000
1306,1,5,0.914000,1.000000
1235,1,5,0.914000,1.000000
1226,1,5,0.914000,1.000000
1285,1,5,0.914000,1.000000
1245,1,5,0.914000,1.000000
1277,1,5,0.914000,1.000000
1296,1,5,0.914000,1.000000
1296,1,5,0.914000,1.000000
1291,1,5,0.914000,1.000000
1304,1,5,0.914000,1.000000
1257,1,5,0.914000,1.000000
1266,1,5,0.914000,1.000000
1270,1,5,0.914000,1.000000
1282,1,5,0.914000,1.000000
1254,1,5,0.914000,1.000000
1280,1,5,0.914000,1.000000
1274,1,5,0.914000,1.000000
1294,1,5,0.914000,1.000000
1232,1,5,0.914000,1.000000
1289,1,5,0.914000,1.000000
1302,1,5,0.914000,1.000000
1504,1,5,0.914000,1.000000
405,1,5,0.914000,1.000000
348,1,5,0.914000,1.000000
401,1,5,0.914000,1.000000
341,1,5,0.914000,1.000000
409,1,5,0.914000,1.000000
316,1,5,0.914000,1.000000
8539,1,5,0.914400,1.000000
2272,1,14,4.000000,1.000000
1,1,5,0.914400,1.000000
2,1,5,0.914400,1.000000
6,1,5,0.914400,1.000000
7,1,5,0.914400,1.000000
8,1,5,0.914400,1.000000
9,1,5,0.914400,1.000000
10,1,5,0.914400,1.000000
11,1,5,0.914400,1.000000
