product_id,quantity_in_stock
1,5120.6000000000
1,4937.8000000000
1,4572.0000000000
1,4023.3000000000
1,548.6000000000
1,4572.0000000000
1,4572.0000000000
2,4572.0000000000
2,7680.9000000000
2,5486.4000000000
2,2377.4000000000
2,6400.8000000000
2,5303.5000000000
2,5303.5000000000
2,7315.2000000000
2,12252.9000000000
2,1828.8000000000
2,8778.2000000000
2,11155.7000000000
3,5303.5000000000
4,4663.4000000000
5,4663.4000000000
5,4663.4000000000
5,2840.5000000000
5,1000.0000000000
6,2.7400000000
7,2.7400000000
8,2.7400000000
9,457.2000000000
9,54.0000000000
10,74.7000000000
10,467.3000000000
12,457.2000000000
12,10.0000000000
14,457.2000000000
14,54.0000000000
15,457.2000000000
15,54.0000000000
16,457.2000000000
16,25.0000000000
26,80.0000000000
27,15.0000000000
27,6.0000000000
27,80.0000000000
29,422.4000000000
30,10.0000000000
30,3.0000000000
43,15.0000000000
47,47.0000000000
48,20.0000000000
52,16.0000000000
74,1000.0000000000
74,558.1000000000
74,1031.4000000000
77,16.0000000000
77,4.0000000000
77,15.0000000000
82,2438.7000000000
82,1925.7000000000
82,73.1000000000
82,55.7000000000
82,45.7000000000
82,68.5000000000
82,45.7000000000
82,64.0000000000
82,57.6000000000
82,59.4000000000
82,54.8000000000
82,50.2000000000
82,54.8000000000
82,66.7000000000
82,67.6000000000
82,65.8000000000
82,72.2000000000
82,71.3000000000
82,73.1000000000
82,67.6000000000
82,70.4000000000
82,73.1000000000
82,58.5000000000
82,72.2000000000
82,71.3000000000
82,66.7000000000
82,36.5000000000
82,72.2000000000
82,66.7000000000
82,68.5000000000
82,66.7000000000
82,1983.3000000000
82,1301.1000000000
82,2135.2000000000
82,1880.0000000000
82,999.4000000000
82,1009.5000000000
82,1270.1000000000
84,20.0000000000
86,14.0000000000
86,4.0000000000
86,10.0000000000
86,3.5000000000
86,2.0000000000
86,20.0000000000
86,2.0000000000
86,25.0000000000
86,6.0000000000
86,3.5000000000
86,3.5000000000
86,4.0000000000
86,3.5000000000
86,4.0000000000
86,8.0000000000
86,8.0000000000
86,4.0000000000
86,6.0000000000
86,3.5000000000
86,7.0000000000
86,4.5000000000
86,4.5000000000
87,5000.0000000000
91,11.0000000000
91,8.0000000000
91,4.0000000000
91,8.5000000000
91,4.0000000000
91,3.5000000000
91,3.5000000000
91,7.0000000000
91,3.5000000000
91,24.0000000000
91,3.5000000000
91,7.0000000000
91,3.5000000000
91,18.0000000000
91,9.0000000000
91,4.0000000000
91,4.0000000000
91,3.5000000000
91,10.5000000000
91,3.5000000000
91,4.0000000000
91,9.0000000000
93,2.0000000000
93,2.0000000000
93,15.0000000000
94,9.0000000000
94,4.0000000000
94,2.0000000000
94,4.0000000000
96,990.2000000000
96,45.7000000000
96,77.7000000000
96,77.7000000000
96,68.5000000000
96,73.1000000000
96,73.1000000000
96,71.3000000000
96,50.2000000000
96,66.7000000000
96,68.5000000000
96,65.8000000000
96,73.1000000000
96,71.3000000000
96,54.8000000000
96,28.3000000000
100,9.0000000000
100,4.5000000000
100,9.0000000000
102,1188.7000000000
102,664.8000000000
105,4.0000000000
105,3.5000000000
105,4.0000000000
105,14.0000000000
105,6.5000000000
107,968.3000000000
111,3.5000000000
117,11.0000000000
117,3.0000000000
127,1046.0000000000
127,15.0000000000
131,988.4000000000
133,4.0000000000
133,3.5000000000
135,3.5000000000
135,11.0000000000
135,14.0000000000
137,1007.7000000000
139,7.5000000000
140,9.0000000000
145,3.5000000000
157,3.0000000000
160,3.0000000000
171,1022.3000000000
175,9.0000000000
175,6.0000000000
175,6.0000000000
178,7.0000000000
190,3.0000000000
190,3.0000000000
190,10.5000000000
190,4.0000000000
194,1045.1000000000
209,3.0000000000
228,1010.4000000000
230,17.0000000000
230,9.0000000000
235,843.0000000000
240,4.0000000000
240,3.5000000000
249,1099.1000000000
249,990.3000000000
254,4.0000000000
254,11.0000000000
254,15.0000000000
254,8.0000000000
270,50.0000000000
270,1061.6000000000
270,76.8000000000
270,1024.1000000000
272,4.0000000000
278,5.0000000000
283,27.0000000000
285,21.0000000000
308,301.7000000000
308,99.7000000000
308,105.2000000000
309,6.0000000000
309,16.0000000000
309,3.0000000000
310,5.0000000000
310,24.0000000000
310,10.0000000000
310,24.0000000000
310,97.0000000000
310,9.0000000000
316,301.7000000000
316,189.2000000000
316,112.4000000000
316,91.4000000000
316,411.5000000000
316,301.8000000000
317,17.0000000000
317,136.2000000000
317,110.0000000000
317,138.0000000000
317,189.2000000000
317,269.8000000000
317,5.0000000000
317,92.0000000000
317,8.0000000000
317,11.0000000000
317,36.0000000000
317,21.0000000000
317,11.0000000000
317,151.8000000000
317,20.0000000000
317,11.0000000000
317,11.0000000000
317,8.0000000000
317,10.0000000000
317,11.0000000000
317,42.0000000000
317,42.0000000000
317,15.0000000000
318,100.5840000000
319,5.0000000000
325,100.6000000000
326,2.0000000000
326,6.0000000000
326,26.0000000000
326,12.0000000000
326,17.0000000000
326,22.0000000000
326,15.0000000000
326,7.0000000000
326,9.0000000000
341,201.1000000000
342,11.0000000000
342,14.0000000000
342,11.0000000000
342,9.0000000000
348,100.5400000000
348,201.1000000000
349,9.0000000000
349,5.0000000000
349,18.0000000000
349,13.0000000000
367,45.7000000000
371,100.5840000000
371,100.5800000000
372,3.5000000000
372,8.0000000000
372,3.0000000000
372,3.5000000000
372,6.0000000000
372,2.0000000000
373,35.9000000000
373,20.0000000000
373,11.0000000000
373,25.0000000000
373,5.0000000000
373,10.0000000000
382,100.5800000000
395,17.0000000000
398,14.0000000000
399,3.0000000000
399,4.0000000000
399,7.5000000000
399,3.5000000000
400,11.0000000000
400,9.0000000000
400,12.0000000000
400,9.0000000000
400,5.0000000000
400,3.0000000000
400,11.0000000000
401,201.1000000000
405,201.1000000000
406,13.0000000000
406,11.0000000000
406,17.0000000000
