product_id,outsourcing_order_id,quantity_stock_out,is_exported,outsourcing_detail_id,assign_product_stockout_id,quantity_exported_outsourcing
1,1341,55.000000,1,5923,48772.0,55.000000
1,1344,21.000000,1,5933,48830.0,21.000000
1,1348,7.000000,1,5941,49052.0,7.000000
1,1348,37.000000,1,5942,49053.0,37.000000
1,1348,11.000000,1,5945,49054.0,11.000000
1,1348,14.000000,1,5946,49055.0,14.000000
1,1356,61.000000,1,5963,49403.0,61.000000
1,1356,8.000000,1,5964,49404.0,8.000000
1,1356,3.500000,1,5965,49405.0,3.500000
1,1356,13.000000,1,5967,49406.0,13.000000
1,1360,64.000000,1,6009,49827.0,64.000000
1,1365,38.000000,1,6030,49966.0,38.000000
1,1365,25.000000,1,6035,49967.0,25.000000
1,1375,233.500000,1,6079,50399.0,233.500000
1,1394,35.000000,1,6113,,
1,1394,15.000000,1,6115,,
1,1394,3.000000,1,6116,,
1,1395,35.000000,1,6121,50918.0,35.000000
1,1395,15.000000,1,6123,50919.0,15.000000
1,1395,3.000000,1,6124,50920.0,3.000000
1,1405,52.000000,0,6162,,
1,1405,22.000000,0,6166,,
1,1405,17.000000,0,6169,,
1,1405,84.000000,0,6171,,
1,25,7.500000,0,115,,
1,25,414.000000,0,118,,
1,25,424.200000,0,119,,
1,25,14.000000,0,122,,
1,25,7.000000,0,123,,
1,37,7.000000,0,159,,
1,37,7.000000,0,161,,
1,50,5.500000,1,328,487.0,5.500000
1,50,17.000000,0,330,488.0,17.000000
1,50,9.000000,0,331,489.0,9.000000
1,50,16.000000,0,333,490.0,16.000000
1,50,8.000000,0,334,491.0,8.000000
1,50,21.000000,0,336,492.0,21.000000
1,50,34.000000,0,340,493.0,34.000000
1,68,11.000000,1,486,1236.0,11.000000
1,68,35.900000,0,488,1237.0,35.900000
1,68,12.000000,0,495,1238.0,12.000000
1,68,18.000000,0,497,1239.0,18.000000
1,70,7.000000,1,532,1304.0,7.000000
1,70,7.000000,0,535,1305.0,7.000000
1,70,17.000000,0,539,1306.0,17.000000
1,70,47.000000,0,541,1307.0,47.000000
1,80,34.000000,1,633,1543.0,34.000000
1,80,,0,635,1544.0,26.500000
1,83,9.000000,1,696,1605.0,9.000000
1,83,30.000000,0,699,1606.0,30.000000
1,83,610.000000,0,701,1607.0,610.000000
1,105,107.000000,1,747,1859.0,107.000000
1,118,55.000000,0,775,,
1,133,13.000000,1,824,2650.0,13.000000
1,133,25.000000,0,825,2651.0,25.000000
1,133,12.000000,0,827,2652.0,12.000000
1,133,24.000000,0,828,2653.0,24.000000
1,133,204.000000,0,831,2654.0,204.000000
1,138,30.000000,1,898,2857.0,30.000000
1,138,19.000000,0,900,2858.0,19.000000
1,138,19.000000,0,902,2859.0,19.000000
1,138,40.000000,0,904,2860.0,40.000000
1,138,24.000000,0,906,2861.0,24.000000
1,138,224.000000,0,908,2862.0,224.000000
1,138,25.500000,0,909,2863.0,25.500000
1,138,17.000000,0,913,2864.0,17.000000
1,138,10.500000,0,914,2865.0,10.500000
1,138,17.000000,0,916,2866.0,17.000000
1,138,10.500000,0,917,2867.0,10.500000
1,138,17.000000,0,919,2868.0,17.000000
1,138,10.500000,0,920,2869.0,10.500000
1,138,24.000000,0,921,2870.0,24.000000
1,138,11.000000,0,923,2871.0,11.000000
1,149,24.000000,1,925,2872.0,24.000000
1,159,,1,957,3602.0,17.000000
1,159,24.000000,0,958,3603.0,24.000000
1,159,165.000000,0,959,3604.0,165.000000
1,191,11.000000,0,1030,3763.0,11.000000
1,191,224.000000,0,1032,3764.0,224.000000
1,191,44.000000,0,1033,3765.0,44.000000
1,191,28.000000,0,1035,3766.0,28.000000
1,191,27.000000,0,1037,3767.0,27.000000
1,191,6.000000,0,1038,3768.0,6.000000
1,191,136.200000,0,1039,3769.0,136.200000
1,205,101.000000,1,1078,3774.0,101.000000
1,209,6.000000,1,1098,4385.0,6.000000
1,214,4.000000,1,1118,4896.0,4.000000
1,214,2.000000,0,1120,4897.0,2.000000
1,214,15.000000,0,1123,4898.0,15.000000
1,232,10.000000,1,1171,5724.0,10.000000
1,232,11.000000,0,1172,5725.0,11.000000
1,232,10.000000,0,1173,5726.0,10.000000
1,232,13.000000,0,1174,5727.0,13.000000
1,232,55.000000,0,1177,5728.0,55.000000
1,241,26.000000,1,1250,6470.0,26.000000
1,241,14.500000,0,1255,6471.0,14.500000
1,241,3.000000,0,1257,6472.0,3.000000
1,241,72.000000,0,1258,6473.0,72.000000
1,241,11.000000,0,1263,6474.0,11.000000
1,249,7.000000,1,1305,7130.0,7.000000
1,249,63.000000,0,1307,7131.0,63.000000
1,249,110.000000,0,1310,7132.0,110.000000
1,249,4.000000,0,1311,7133.0,4.000000
1,249,3.000000,0,1312,7134.0,3.000000
1,249,5.000000,0,1314,7135.0,5.000000
1,260,145.100000,1,1391,8075.0,145.100000
1,260,2.000000,0,1396,8076.0,2.000000
1,274,6.000000,1,1427,8174.0,6.000000
1,274,4.000000,0,1428,8175.0,4.000000
1,274,14.000000,0,1430,8176.0,14.000000
1,296,3.000000,1,1532,8802.0,3.000000
1,296,3.000000,0,1533,8803.0,3.000000
1,296,25.000000,0,1537,8804.0,25.000000
1,296,14.000000,0,1541,8805.0,14.000000
1,299,11.000000,1,1564,9107.0,11.000000
1,299,1.500000,0,1567,9108.0,1.500000
1,299,8.000000,0,1569,9109.0,8.000000
1,299,8.000000,0,1572,9110.0,8.000000
1,299,2.000000,0,1573,9111.0,2.000000
1,299,2.000000,0,1578,9112.0,2.000000
1,299,3.000000,0,1579,9113.0,3.000000
1,299,4.000000,0,1580,9114.0,4.000000
1,302,15.000000,1,1588,9115.0,15.000000
1,302,2.000000,0,1592,9116.0,2.000000
1,306,8.000000,1,1603,9689.0,8.000000
1,306,14.000000,0,1604,9690.0,14.000000
1,306,51.000000,0,1605,9691.0,51.000000
