product_id,created_at,updated_at,deleted_at,product_unit_id,need_quantity,ordered_quantity,need_order_quantity,in_stock,need_for_outsourcing,is_calculated,outsourcing_stock_out,temporary_quantity
1,2022-06-27 11:20:23+00:00,2022-12-06 08:50:09+00:00,,16620,118.4100000000,0E-10,-3855.4259900000,6301.9100000000,2328.0740100000,1,0E-10,3855.4259900000
2,2022-06-26 01:24:29+00:00,2022-12-06 09:42:47+00:00,,10127,4299.4600000000,0E-10,6221.0206210000,13742.7300000000,15664.2906210000,1,0E-10,-6221.0206210000
3,2022-06-26 06:31:44+00:00,2022-12-06 05:05:05+00:00,,8583,0E-10,0E-10,-4365.1000000000,4437.7000000000,72.6000000000,1,0E-10,4365.1000000000
4,2022-06-26 01:19:28+00:00,2022-12-06 05:12:18+00:00,,9913,0E-10,0E-10,-2638.9780000000,3270.9000000000,631.9220000000,1,0E-10,2638.9780000000
5,2022-06-26 01:19:00+00:00,2022-12-06 07:54:09+00:00,,9912,0E-10,0E-10,-1024.1007000000,2324.0800000000,1655.8193000000,1,355.8400000000,1024.1007000000
6,2022-06-26 01:51:00+00:00,2022-12-06 06:05:21+00:00,,18962,51.0000000000,88.7000000000,-131.7000000000,94.0000000000,0E-10,1,0E-10,131.7000000000
7,2022-06-26 01:51:03+00:00,2022-12-06 06:05:20+00:00,,18961,60.4600000000,88.7000000000,-99.2400000000,71.0000000000,0E-10,1,0E-10,99.2400000000
8,2022-06-26 01:51:07+00:00,2022-12-06 06:05:20+00:00,,18960,69.3800000000,88.7000000000,-53.3200000000,34.0000000000,0E-10,1,0E-10,53.3200000000
9,2022-06-26 06:34:06+00:00,2022-12-06 05:51:17+00:00,,8682,35.8100000000,0E-10,-192.4000000000,228.2100000000,0E-10,1,0E-10,192.4000000000
10,2022-06-26 06:34:10+00:00,2022-12-06 05:51:18+00:00,,8683,28.6000000000,0E-10,-325.0700000000,353.6700000000,0E-10,1,0E-10,325.0700000000
11,2022-06-26 06:34:13+00:00,2022-12-06 05:51:18+00:00,,8684,0E-10,0E-10,-445.0000000000,445.0000000000,0E-10,1,0E-10,445.0000000000
12,2022-06-26 06:34:17+00:00,2022-12-06 05:51:19+00:00,,8685,62.1500000000,0E-10,-339.1285000000,401.2785000000,0E-10,1,0E-10,339.1285000000
13,2022-06-26 06:34:20+00:00,2022-12-06 05:51:19+00:00,,8686,16.8000000000,0E-10,-299.1000000000,315.9000000000,0E-10,1,0E-10,299.1000000000
14,2022-06-26 06:34:24+00:00,2022-12-06 05:51:20+00:00,,8687,0E-10,0E-10,-174.7700000000,174.7700000000,0E-10,1,0E-10,174.7700000000
15,2022-06-26 06:34:28+00:00,2022-12-06 05:51:20+00:00,,8688,4.4500000000,0E-10,-407.2100000000,411.6600000000,0E-10,1,0E-10,407.2100000000
16,2022-06-26 06:34:31+00:00,2022-12-06 08:10:00+00:00,,8689,129.4800000000,0E-10,-18.9000010000,148.3800010000,0E-10,1,0E-10,18.9000010000
17,2022-06-26 06:34:39+00:00,2022-12-06 05:51:22+00:00,,8691,16.2000000000,0E-10,-110.6000000000,126.8000000000,0E-10,1,0E-10,110.6000000000
18,2022-06-26 06:34:42+00:00,2022-12-06 05:51:23+00:00,,8692,0E-10,0E-10,-476.0000000000,476.0000000000,0E-10,1,0E-10,476.0000000000
19,2022-06-26 06:34:46+00:00,2022-12-06 05:51:23+00:00,,8693,0E-10,0E-10,0E-10,0E-10,0E-10,1,0E-10,0E-10
20,2022-06-26 06:34:35+00:00,2022-12-06 05:51:21+00:00,,8690,0E-10,0E-10,-307.8000000000,307.8000000000,0E-10,1,0E-10,307.8000000000
21,2022-06-26 01:51:11+00:00,2022-12-06 05:16:47+00:00,,21,0E-10,0E-10,0E-10,0E-10,0E-10,1,0E-10,0E-10
22,2022-06-26 01:51:14+00:00,2022-12-06 05:16:48+00:00,,22,0E-10,0E-10,0E-10,0E-10,0E-10,1,0E-10,0E-10
23,2022-06-25 23:11:02+00:00,2022-12-06 04:41:54+00:00,,11977,0E-10,0E-10,-80.0000000000,80.0000000000,0E-10,1,0E-10,80.0000000000
24,2022-06-25 22:21:58+00:00,2022-12-06 02:21:06+00:00,,18207,0E-10,0E-10,0E-10,0E-10,0E-10,1,0E-10,0E-10
25,2022-06-25 22:22:02+00:00,2022-12-06 04:41:52+00:00,,18049,0E-10,0E-10,0E-10,0E-10,0E-10,1,0E-10,0E-10
26,2022-06-25 10:51:42+00:00,2022-12-06 03:10:04+00:00,,26,0E-10,0E-10,-13.5000000000,13.5000000000,0E-10,1,0E-10,13.5000000000
27,2022-06-25 10:51:39+00:00,2022-12-06 01:45:12+00:00,,16561,0E-10,0E-10,-37.7000000000,37.7000000000,0E-10,1,0E-10,37.7000000000
28,2022-06-25 23:17:51+00:00,2022-12-06 03:10:04+00:00,,28,0E-10,0E-10,0E-10,0E-10,0E-10,1,0E-10,0E-10
29,2022-06-26 00:21:53+00:00,2022-12-06 04:21:49+00:00,,10302,0E-10,0E-10,-293.2700000000,293.2700000000,0E-10,1,0E-10,293.2700000000
30,2022-06-26 00:21:49+00:00,2022-12-06 01:25:25+00:00,,10366,0E-10,0E-10,-1.9000000000,1.9000000000,0E-10,1,0E-10,1.9000000000
31,2022-06-26 01:51:18+00:00,2022-12-06 06:06:32+00:00,,31,0E-10,0E-10,0E-10,0E-10,0E-10,1,0E-10,0E-10
32,2022-06-26 01:51:21+00:00,2022-12-06 05:16:49+00:00,,32,0E-10,0E-10,0E-10,0E-10,0E-10,1,0E-10,0E-10
33,2022-06-26 01:51:25+00:00,2022-12-06 05:16:49+00:00,,33,0E-10,0E-10,0E-10,0E-10,0E-10,1,0E-10,0E-10
34,2022-06-26 01:51:29+00:00,2022-12-06 05:16:50+00:00,,34,0E-10,0E-10,0E-10,0E-10,0E-10,1,0E-10,0E-10
35,2022-06-26 01:51:33+00:00,2022-12-06 01:00:05+00:00,,35,0E-10,0E-10,0E-10,0E-10,0E-10,0,0E-10,
36,2022-06-26 01:51:36+00:00,2022-12-06 05:16:50+00:00,,36,0E-10,0E-10,0E-10,0E-10,0E-10,1,0E-10,0E-10
37,2022-06-26 00:13:51+00:00,2022-12-06 03:10:05+00:00,,37,0E-10,0E-10,-18.2000000000,18.2000000000,0E-10,1,0E-10,18.2000000000
38,2022-06-26 00:13:44+00:00,2022-12-06 01:20:24+00:00,,10093,0E-10,0E-10,0E-10,0E-10,0E-10,1,0E-10,0E-10
39,2022-06-26 00:13:47+00:00,2022-12-06 01:20:25+00:00,,10094,0E-10,0E-10,0E-10,0E-10,0E-10,1,0E-10,0E-10
40,2022-06-26 01:51:40+00:00,2022-12-06 05:16:51+00:00,,40,0E-10,0E-10,0E-10,0E-10,0E-10,1,0E-10,0E-10
41,2022-06-26 01:51:44+00:00,2022-12-06 05:16:51+00:00,,41,0E-10,0E-10,0E-10,0E-10,0E-10,1,0E-10,0E-10
42,2022-06-26 01:51:47+00:00,2022-12-06 05:16:52+00:00,,42,0E-10,0E-10,-5.7000000000,5.7000000000,0E-10,1,0E-10,5.7000000000
