product_id,is_outsourcing,product_code,quantity_product
1,0,1-LUOIMA-BLK-80-CM,6301.910000
2,0,1-LUOIMA-WHI-80-CM,13742.730000
3,0,1-LUOIMA-LWH-80-CM,4437.700000
4,0,1-LUOIMA-BLK-28-CM,3270.900000
5,0,1-LUOIMA-WHI-28-CM,2324.080000
6,0,1-CO5960-BKR-00-CT,94.000000
7,0,1-CO5960-FER-00-CT,71.000000
8,0,1-CO5960-MIB-00-CT,34.000000
9,0,1-CO7033-AMT-00-EW,228.210000
10,0,1-CO7033-BLK-00-EW,353.670000
11,0,1-CO7033-CBN-00-EW,445.000000
12,0,1-CO7033-EBN-00-EW,401.278500
13,0,1-CO7033-HBL-00-EW,315.900000
14,0,1-CO7033-LMG-00-EW,174.770000
15,0,1-CO7033-PAF-00-EW,411.660000
16,0,1-CO7033-PEC-00-EW,148.380001
17,0,1-CO7033-RBL-00-EW,126.800000
18,0,1-CO7033-SBK-00-EW,476.000000
19,0,1-CO7033-STW-00-EW,0.000000
20,0,1-CO7033-VGR-00-EW,307.800000
21,0,1-COTO01-NAV-00-SA,0.000000
22,0,1-COTO02-BLK-00-SA,0.000000
23,0,1-COTO01-NAV-00-CI,80.000000
24,1,1-COTO01-NAV-L4-CI,0.000000
25,1,1-COTO01-NAV-L2-CI,0.000000
26,0,1-COTO01-FSH-00-GF,13.500000
27,1,1-COTO01-FSH-L1-GF,37.700000
28,0,1-COTTON-BRO-00-AK,0.000000
29,0,1-COVAC0-BGD-00-HV,293.270000
30,1,1-COVAC0-BGD-L2-HV,1.900000
31,0,1-COCM00-000-00-AK,0.000000
32,0,1-COCM05-CMO-00-AK,0.000000
33,0,1-COCA08-CMO-00-AK,0.000000
34,0,1-COCAM9-CMO-00-AK,0.000000
36,0,1-COTTON-FSH-00-AK,0.000000
37,0,1-COTO01-GRP-00-AD,18.200000
38,1,1-COTO01-GRP-K8-AD,0.000000
39,1,1-COTO01-GRP-L2-AD,0.000000
40,0,1-COCAM6-GRN-00-AK,0.000000
41,0,1-COVAC0-OGD-00-CA,0.000000
42,0,1-COVAC0-TXO-00-CA,5.700000
43,0,1-COTO01-MAR-00-BV,37.530000
45,0,1-COVAC0-NGR-00-AK,0.000000
46,1,1-COVAC0-NGR-L3-AK,0.000000
47,0,1-COTO02-ONG-00-BV,35.120000
48,1,1-CO0000-ONG-CN-BV,3.320000
49,0,1-COVAC1-ONG-00-CA,0.000000
50,1,1-COVAC1-ONG-L2-CA,0.000000
51,0,1-COVAC0-ONG-00-CA,43.600000
52,1,1-COVAC0-ONG-L2-CA,0.000000
53,0,1-COTO01-DGY-00-AD,58.000000
54,0,1-COTO02-ORN-00-AD,50.000000
55,0,1-COTO03-ORA-00-AD,68.000000
56,0,1-COTO04-POG-00-AD,0.000000
57,0,1-COTO05-ORP-00-AD,199.000000
58,0,1-COTO01-PCM-00-BF,0.000000
59,0,1-COTO06-SLG-00-AD,38.000000
60,0,1-COVAC0-STO-00-CA,107.595000
61,1,1-COVAC0-STO-L1-CA,0.000000
66,0,1-CO0000-TAN-00-BV,160.490000
67,0,1-CVAC01-CAL-00-HV,0.000000
68,1,1-CVAC01-CAL-L2-HV,0.000000
69,0,1-CVAC02-BRO-00-IW,3.970000
70,1,1-CVAC02-BRO-L2-IW,0.000000
71,0,1-CVAC03-MAR-00-HS,1.400000
72,1,1-CVAC04-SCA-L2-IW,0.000000
73,0,1-CVAC04-SCA-00-IW,4.100000
74,0,1-CVAC04-SCA-00-HV,1131.904000
75,1,1-CVAC04-SCA-CN-IW,0.000000
76,1,1-CVAC04-SCA-K8-IW,0.000000
77,1,1-CVAC04-SCA-L2-HV,4.137500
78,1,1-CVAC04-SCA-M2-IW,0.000000
79,1,1-CVAC04-SCA-M5-IW,0.000000
80,0,1-CVAC05-DBN-00-IW,193.610000
81,1,1-CVAC05-DBN-CN-IW,3.000000
82,0,1-CVAC06-BLK-00-HV,524.165900
84,1,1-CVAC06-BLK-CN-HV,49.050000
85,1,1-CVAC06-BLK-C2-HV,0.000000
86,1,1-CVAC06-BLK-V1-HV,6.390000
87,0,8-CI0144-000-ST-TL,1203.410000
88,1,1-CVAC06-BLK-K8-HV,50.110600
89,1,1-CVAC06-BLK-K5-HV,0.000000
90,1,1-CVAC06-BLK-L4-HV,0.000000
91,1,1-CVAC06-BLK-L2-HV,56.697600
92,1,1-CVAC06-BLK-L2-IW,0.000000
93,1,1-CVAC06-BLK-M2-HV,9.052600
94,1,1-CVAC06-BLK-M5-HV,8.340000
96,0,1-CVAC07-GRY-00-HV,552.927200
97,1,1-CVAC07-GRY-L2-IW,0.000000
98,1,1-CVAC07-GRY-L2-HV,0.000000
99,1,1-CVAC07-GRY-L1-IW,0.000000
100,1,1-CVAC07-GRY-L1-HV,1.550000
101,1,1-CVAC07-GRY-M2-HV,0.000000
102,0,1-CVAC08-WHI-00-HV,386.985900
103,1,1-CVAC08-BLK-V2-HV,1.200000
105,1,1-CVAC08-WHI-L1-HV,0.520000
106,1,1-CVAC08-WHI-M5-HV,0.000000
107,0,1-CVAC09-GRP-00-HV,825.920100
108,0,1-CVAC09-GRP-CN-IW,0.000000
109,1,1-CVAC09-GRP-CN-HV,0.000000
111,1,1-CVAC09-GRP-L2-HV,0.000000
112,1,1-CVAC09-GRP-M2-HV,0.000000
113,1,1-CVAC09-GRP-M5-HV,0.000000
114,0,1-CVAC10-DRO-00-IW,813.340000
115,0,1-CVAC10-DRO-00-HV,0.000000
116,1,1-CVAC10-DRO-L2-IW,0.000000
117,1,1-CVAC10-DRO-L2-HV,1.920000
118,0,1-CVAC11-LRO-00-IW,500.490000
