product_id,order_id,production_order_id,complete_prodtion_stockout,is_exported,quantity_production_order,assign_product_stockout_id,quantity_exported_production_order
1,1157,1471,1,1,1.520000,30051.0,1.520000
1,1428,1471,1,1,432.910000,30052.0,432.910000
1,1429,1471,1,1,300.000000,30053.0,300.000000
1,558,785,0,1,6.300000,16634.0,6.300000
1,750,785,1,1,113.900000,16635.0,113.900000
1,894,785,0,1,67.100000,16636.0,67.100000
1,1129,811,1,1,5.550000,17718.0,5.550000
1,1132,833,1,1,6.110000,18505.0,6.110000
1,87,169,0,1,7.900000,1682.0,7.900000
1,90,169,0,1,5.500000,1683.0,5.500000
1,91,169,0,1,7.900000,1684.0,7.900000
1,356,945,0,1,5.800000,20596.0,5.800000
1,525,945,0,1,31.440000,20597.0,31.440000
1,889,945,0,1,6.100000,20598.0,6.100000
1,890,945,0,1,6.100000,20599.0,6.100000
1,904,945,1,1,6.200000,20600.0,6.200000
1,906,945,0,1,6.200000,20601.0,6.200000
1,907,945,0,1,6.400000,20602.0,6.400000
1,908,945,0,1,6.400000,20603.0,6.400000
1,1130,945,1,1,6.110000,20604.0,6.110000
2,1075,1082,1,1,208.670000,23241.0,208.670000
2,1076,1082,1,1,208.670000,23242.0,208.670000
2,1077,1082,1,1,100.250000,23243.0,100.250000
2,1078,1082,1,1,125.270000,23244.0,125.270000
2,1008,1152,1,1,6.100000,24470.0,6.100000
2,1060,1152,0,1,100.100000,24471.0,100.100000
2,1061,1152,0,1,114.110000,24472.0,114.110000
2,1062,1152,0,1,70.100000,24473.0,70.100000
2,1063,1152,0,1,79.910000,24474.0,79.910000
2,1134,1152,1,1,7.980000,24475.0,7.980000
2,1135,1152,1,1,7.860000,24476.0,7.860000
2,1136,1152,1,1,4.490000,24477.0,4.490000
2,1137,1152,1,1,7.860000,24478.0,7.860000
2,1138,1152,1,1,4.490000,24479.0,4.490000
2,1158,1152,1,1,1.520000,24480.0,1.520000
2,1324,1152,0,1,145.000000,24481.0,145.000000
2,1131,811,1,1,6.110000,17729.0,6.110000
