quantity,product_id,is_increase
366.000000,1,0
7465.600000,2,1
7465.600000,2,1
7465.600000,2,0
4725.000000,2,0
549.000000,2,0
426.200000,2,0
122.800000,2,0
0.050000,2,0
183.000000,2,0
2.500000,2,0
1647.000000,2,0
1464.000000,2,0
183.000000,2,0
673.200000,2,0
7137.000000,2,0
366.000000,2,0
157.600000,2,1
8230.000000,4,1
1920.000000,4,0
7317.000000,5,1
94.000000,6,1
71.000000,7,1
34.000000,8,1
4.700000,9,1
4.500000,9,1
32.500000,9,1
2.000000,9,1
32.600000,10,1
4.500000,10,1
445.000000,11,1
171.100000,12,1
475.000000,13,1
65.800000,14,1
388.500000,15,1
0.400000,15,1
0.100000,15,1
5.000000,15,1
241.100000,16,1
233.000000,17,1
476.000000,18,1
326.400000,20,1
80.000000,23,1
34.500000,26,1
15.000000,27,1
22.600000,29,1
18.200000,37,1
58.400000,42,1
73.200000,42,1
58.400000,42,0
73.200000,42,0
5.700000,42,1
504.800000,43,1
24.100000,47,1
109.600000,51,1
6.000000,51,1
58.000000,53,1
50.000000,54,1
68.000000,55,1
199.000000,57,1
38.000000,59,1
165.000000,60,1
404.800000,66,1
31.500000,66,0
265.600000,69,1
19.400000,69,0
81.960000,69,0
127.700000,71,1
127.700000,71,0
60.000000,71,1
66.000000,71,1
0.800000,71,1
0.900000,71,1
2.000000,71,0
30.700000,73,1
214.300000,74,1
3.100000,74,1
0.600000,74,1
7.500000,74,1
64.000000,74,1
3.200000,74,1
0.500000,74,1
16.900000,74,1
17.200000,74,1
89.400000,74,1
2.500000,74,1
10.100000,74,1
214.300000,74,0
2.000000,77,1
2.000000,77,1
6.000000,77,1
330.900000,80,1
10.000000,81,1
1014.800000,82,1
1014.800000,82,0
0.900000,82,1
13.800000,82,1
82.300000,82,1
22.000000,82,1
0.900000,82,1
3.400000,82,1
1.900000,82,1
4.500000,82,1
21.700000,82,1
68.400000,82,1
6.400000,82,1
54.900000,82,1
69.500000,82,1
17.200000,82,1
70.600000,82,1
32.300000,82,1
47.700000,82,1
8.600000,82,1
9.200000,82,1
31.200000,82,1
2.600000,82,1
53.000000,82,1
76.800000,82,1
39.300000,82,1
19.000000,82,1
46.600000,82,1
44.200000,82,1
64.000000,82,1
52.300000,82,1
64.000000,82,1
60.400000,82,1
64.000000,82,1
22.000000,82,0
0.900000,82,0
0.900000,82,0
3.400000,82,0
1.900000,82,0
0.492800,82,0
0.938000,82,0
196.920000,82,1
4.500000,82,0
2.600000,82,0
1.000000,82,0
0.178000,82,0
0.200000,82,0
200.000000,82,1
300.000000,82,1
15.000000,84,1
10.000000,84,1
10.000000,84,1
10.000000,84,1
30.000000,84,1
30.000000,84,1
60.000000,84,1
26.100000,88,1
26.100000,88,1
40.200000,91,1
16.000000,93,1
7.400000,96,1
45.700000,96,1
27.300000,96,1
27.000000,96,1
2.600000,96,1
0.700000,96,1
6.800000,96,1
54.900000,96,1
45.500000,96,1
2.100000,96,1
3.700000,96,1
4.000000,96,1
16.700000,96,1
7.100000,96,1
1.300000,96,1
0.600000,96,1
48.400000,96,1
33.600000,96,1
45.700000,96,1
1.000000,96,0
1.000000,96,0
27.000000,96,0
1.600000,96,0
0.800000,96,0
11.100000,96,0
2.100000,96,0
2.200000,96,0
4.000000,96,0
7.100000,96,0
1.300000,96,0
0.600000,96,0
3.107000,96,0
18.130000,96,0
3.100000,96,0
793.200000,102,1
5.800000,102,0
