product_id,request_id,is_exported,is_complete_req_detail,quantity_req_stockout,assign_product_stockout_id,quantity_exported_req_stockout
1,1915,1,1,20.000000,49611.0,20.000000
1,175,1,1,0.500000,9163.0,0.500000
1,419,1,1,4.500000,16579.0,4.500000
1,520,1,1,30.000000,19089.0,30.000000
1,576,1,1,285.250000,20661.0,285.250000
1,905,1,1,183.000000,26358.0,183.000000
2,243,1,1,549.000000,11341.0,549.000000
2,263,1,1,366.000000,12168.0,366.000000
2,279,1,1,200.000000,12260.0,200.000000
2,431,1,1,0.700000,17298.0,0.700000
2,463,1,1,1.000000,17831.0,1.000000
2,597,1,1,5.000000,21084.0,5.000000
2,720,1,1,1.000000,23312.0,1.000000
2,905,1,1,183.000000,26359.0,183.000000
2,1064,1,1,200.000000,29612.0,200.000000
2,1915,1,1,20.000000,49612.0,20.000000
3,1730,1,1,60.000000,44851.0,60.000000
4,1915,1,1,20.000000,49610.0,20.000000
5,1631,1,1,273.000000,42645.0,327.600000
5,1089,1,1,274.300000,30007.0,329.160000
5,1101,1,1,274.300000,30016.0,329.160000
5,1149,1,1,274.300000,31020.0,329.160000
5,1242,1,1,274.000000,33033.0,87.920000
5,1242,1,1,274.000000,33034.0,240.880000
6,1508,1,1,2.700000,40207.0,2.740000
7,1508,1,1,2.700000,40206.0,2.740000
8,1508,1,1,2.700000,40205.0,2.740000
9,96,1,1,1.000000,9182.0,1.000000
9,329,1,1,0.500000,14590.0,0.500000
9,1075,1,1,1.500000,29816.0,1.500000
10,96,1,1,1.500000,6783.0,1.500000
10,284,1,1,4.500000,12472.0,4.500000
10,859,1,1,15.000000,25720.0,15.000000
10,1675,1,1,3.000000,43512.0,3.000000
10,1873,1,1,2.000000,48145.0,2.000000
12,1897,1,1,0.500000,48832.0,0.500000
12,85,1,1,4.000000,6792.0,4.000000
12,96,1,1,7.000000,6782.0,7.000000
12,252,1,1,0.500000,11951.0,0.500000
12,1075,1,1,1.500000,29810.0,1.500000
12,1222,0,0,1.000000,32680.0,1.000000
13,96,1,1,4.000000,6778.0,4.000000
13,329,1,1,0.500000,14593.0,0.500000
13,757,1,1,2.000000,24460.0,2.000000
14,85,1,1,2.000000,6794.0,2.000000
14,96,1,1,2.000000,6784.0,2.000000
14,1563,1,1,1.000000,42058.0,1.000000
14,1897,1,1,0.500000,48833.0,0.500000
15,96,1,1,5.000000,6785.0,5.000000
15,329,1,1,0.500000,14592.0,0.500000
15,451,1,1,1.000000,17827.0,1.000000
15,466,1,1,1.000000,17828.0,1.000000
16,96,1,1,3.000000,6786.0,3.000000
16,859,1,1,13.000000,25721.0,13.000000
16,1075,1,1,1.000000,29812.0,1.000000
16,1276,1,1,1.000000,33945.0,1.000000
16,1711,1,1,7.000000,44419.0,7.000000
16,1897,1,1,2.000000,48834.0,2.000000
16,2000,1,1,0.500000,51435.0,0.500000
17,1711,1,1,5.000000,44418.0,5.000000
17,1873,1,1,1.000000,48139.0,1.000000
17,1897,1,1,2.000000,48837.0,2.000000
17,96,1,1,5.000000,6781.0,5.000000
17,1075,1,1,1.000000,29814.0,1.000000
20,1075,1,1,1.000000,29817.0,1.000000
20,1873,1,1,1.500000,48143.0,1.500000
27,113,1,1,1.200000,8832.0,1.200000
27,850,1,1,0.500000,25718.0,0.500000
29,60,1,1,2.000000,6175.0,2.000000
29,438,1,1,1.000000,17285.0,1.000000
29,541,1,1,0.500000,19606.0,0.500000
29,570,1,1,5.000000,20089.0,5.000000
29,675,1,1,1.000000,22804.0,1.000000
29,718,1,1,1.000000,23343.0,1.000000
29,868,1,1,3.000000,25951.0,3.000000
29,1675,1,1,1.000000,43517.0,1.000000
29,1711,1,1,1.500000,44422.0,1.500000
29,1837,1,1,1.000000,48030.0,1.000000
43,1122,1,1,4.000000,31009.0,4.800000
43,1159,1,1,3.000000,31299.0,3.000000
69,793,1,1,2.000000,24333.0,2.000000
69,817,1,1,0.500000,25045.0,0.500000
69,1099,1,1,1.700000,31000.0,2.040000
69,1115,1,1,0.500000,30392.0,0.500000
69,1373,1,1,0.500000,36660.0,0.500000
69,1548,1,1,6.500000,41059.0,6.500000
71,320,1,1,0.300000,13658.0,0.300000
73,27,1,1,0.500000,5298.0,0.500000
74,103,1,1,0.500000,7405.0,0.500000
74,135,1,1,3.000000,8656.0,3.000000
74,149,1,1,1.000000,8472.0,1.000000
74,222,1,1,91.000000,11240.0,91.000000
74,230,1,1,5.000000,11239.0,5.000000
