product_id,product_code,product_unit_id,purchase_order_quantity,purchase_order_id,is_complete
1,1-LUOIMA-BLK-80-CM,12000,5000.000000,891,1
1,1-LUOIMA-BLK-80-CM,12000,5000.000000,1255,1
1,1-LUOIMA-BLK-80-CM,16620,10000.000000,110,0
1,1-LUOIMA-BLK-80-CM,16620,5000.000000,388,1
1,1-LUOIMA-BLK-80-CM,12000,5000.000000,590,1
2,1-LUOIMA-WHI-80-CM,10127,5000.000000,39,0
2,1-LUOIMA-WHI-80-CM,10127,10000.000000,110,1
2,1-LUOIMA-WHI-80-CM,11839,5000.000000,231,1
2,1-LUOIMA-WHI-80-CM,11839,7000.000000,548,1
2,1-LUOIMA-WHI-80-CM,11839,5000.000000,590,1
2,1-LUOIMA-WHI-80-CM,11839,5000.000000,634,1
2,1-LUOIMA-WHI-80-CM,11839,20000.000000,693,1
2,1-LUOIMA-WHI-80-CM,11839,10000.000000,891,1
2,1-LUOIMA-WHI-80-CM,11839,10000.000000,1255,1
3,1-LUOIMA-LWH-80-CM,8583,4570.000000,987,1
4,1-LUOIMA-BLK-28-CM,12002,5000.000000,590,1
5,1-LUOIMA-WHI-28-CM,12003,5000.000000,590,1
5,1-LUOIMA-WHI-28-CM,12003,5000.000000,928,1
5,1-LUOIMA-WHI-28-CM,12003,3000.000000,1244,1
5,1-LUOIMA-WHI-28-CM,9912,1000.000000,1244,0
6,1-CO5960-BKR-00-CT,12004,100.000000,792,0
7,1-CO5960-FER-00-CT,12005,100.000000,792,0
8,1-CO5960-MIB-00-CT,12006,100.000000,792,0
9,1-CO7033-AMT-00-EW,12007,500.000000,510,1
10,1-CO7033-BLK-00-EW,11809,500.000000,228,1
12,1-CO7033-EBN-00-EW,12009,500.000000,510,1
14,1-CO7033-LMG-00-EW,12011,500.000000,510,1
15,1-CO7033-PAF-00-EW,12012,500.000000,510,1
16,1-CO7033-PEC-00-EW,12013,500.000000,510,1
26,1-COTO01-FSH-00-GF,26,20.000000,497,1
29,1-COVAC0-BGD-00-HV,10302,300.000000,66,1
47,1-COTO02-ONG-00-BV,47,54.000000,804,0
74,1-CVAC04-SCA-00-HV,10297,1000.000000,43,1
74,1-CVAC04-SCA-00-HV,8366,500.000000,259,1
74,1-CVAC04-SCA-00-HV,8366,1000.000000,1018,1
82,1-CVAC06-BLK-00-HV,11401,1000.000000,1028,1
82,1-CVAC06-BLK-00-HV,11401,1000.000000,972,0
82,1-CVAC06-BLK-00-HV,11401,1000.000000,1089,1
82,1-CVAC06-BLK-00-HV,11401,1000.000000,1373,0
82,1-CVAC06-BLK-00-HV,11401,2000.000000,173,1
82,1-CVAC06-BLK-00-HV,11401,2000.000000,298,1
82,1-CVAC06-BLK-00-HV,11401,2000.000000,357,1
82,1-CVAC06-BLK-00-HV,11401,2000.000000,469,1
82,1-CVAC06-BLK-00-HV,11401,1000.000000,550,1
82,1-CVAC06-BLK-00-HV,11401,2000.000000,653,1
82,1-CVAC06-BLK-00-HV,16750,2000.000000,866,0
87,8-CI0144-000-ST-TL,20116,5000.000000,1216,1
96,1-CVAC07-GRY-00-HV,11996,1000.000000,259,1
96,1-CVAC07-GRY-00-HV,11996,1057.000000,536,0
102,1-CVAC08-WHI-00-HV,11801,1000.000000,224,1
102,1-CVAC08-WHI-00-HV,11801,500.000000,823,1
107,1-CVAC09-GRP-00-HV,11995,1000.000000,259,1
127,1-CVAC13-NA1-00-HV,11402,1000.000000,173,1
131,1-CVAC14-NAV-00-HV,12118,1000.000000,348,1
137,1-CVAC16-PNK-00-HV,12124,1000.000000,1280,1
171,1-CVAC32-BGE-00-HV,12158,1000.000000,1280,1
194,1-CVAC40-VGO-00-HV,11434,1000.000000,6,1
228,1-CVAC54-IVO-00-HV,11998,1000.000000,259,1
235,1-CVAC57-OLI-00-HV,11999,1000.000000,259,0
249,1-CVAC59-OSB-00-HV,12231,1000.000000,606,1
249,1-CVAC59-OSB-00-HV,12231,1000.000000,972,1
270,1-CVAC70-DGR-00-HV,12252,1000.000000,1018,1
270,1-CVAC70-DGR-00-HV,12252,1000.000000,673,1
308,1-SUEDE0-BGE-00-TQ,308,300.000000,187,1
308,1-SUEDE0-BGE-00-TQ,12290,220.000000,529,1
316,1-SUEDE0-BLK-00-TQ,9855,300.000000,106,1
316,1-SUEDE0-BLK-00-TQ,9855,330.000000,278,0
316,1-SUEDE0-BLK-00-TQ,9855,500.000000,561,1
316,1-SUEDE0-BLK-00-TQ,9855,300.000000,680,1
318,1-SUEDE0-BLU-00-TQ,12299,110.000000,278,1
325,1-SUEDE0-BRO-00-TQ,325,100.000000,9,0
325,1-SUEDE0-BRO-00-TQ,12306,100.000000,680,1
341,1-SUEDE0-OLI-00-TQ,9853,200.000000,106,1
348,1-SUEDE0-GRY-00-TQ,9851,200.000000,106,1
348,1-SUEDE0-GRY-00-TQ,9851,110.000000,1184,1
367,1-SUEDE0-MIN-00-TQ,367,50.000000,187,0
368,1-SUEDE0-NAV-00-AK,368,5.000000,7,0
371,1-SUEDE0-NAB-00-TQ,12350,110.000000,278,1
371,1-SUEDE0-NAB-00-TQ,12350,110.000000,1144,1
382,1-SUEDE0-OSB-00-TQ,12361,110.000000,401,0
395,1-SUEDE0-RED-00-AK,395,20.000000,982,1
401,1-SUEDE0-RSE-00-TQ,9852,200.000000,106,1
405,1-SUEDE0-SGR-00-TQ,405,100.000000,9,1
405,1-SUEDE0-SGR-00-TQ,9850,200.000000,106,0
407,1-SUEDE0-TAU-00-TQ,12384,110.000000,278,0
407,1-SUEDE0-TAU-00-TQ,12384,100.000000,1047,1
407,1-SUEDE0-TAU-00-TQ,12384,110.000000,1184,1
409,1-SUEDE0-TRQ-00-TQ,9854,110.000000,1184,1
409,1-SUEDE0-TRQ-00-TQ,409,50.000000,9,1
409,1-SUEDE0-TRQ-00-TQ,9854,50.000000,106,1
416,1-SUEDE0-WHI-00-TQ,12392,220.000000,278,0
438,1-NY2571-QRY-00-HG,12414,500.000000,286,1
443,1-NY2110-GRP-00-CO,12419,300.000000,430,1
462,1-NY3798-CRM-00-EV,11732,1000.000000,323,1
462,1-NY3798-CRM-00-EV,11732,1000.000000,218,0
462,1-NY3798-CRM-00-EV,11732,350.000000,794,1
465,1-NY3798-JUN-00-EV,11733,1000.000000,218,1
469,1-NY3798-MNR-00-EV,11734,1000.000000,323,1
469,1-NY3798-MNR-00-EV,11734,2000.000000,218,0
471,1-NY3798-TIM-00-EV,11735,1500.000000,218,1
476,1-NY3798-QRY-00-EV,12448,500.000000,323,0
493,1-NY1338-TAN-00-BT,12465,500.000000,518,0
510,1-NY0086-OPA-00-UL,12482,2000.000000,365,1
517,1-NY0086-SAW-00-UL,11853,500.000000,365,1
517,1-NY0086-SAW-00-UL,11853,1000.000000,235,0
572,1-NY0946-PBK-00-HG,12543,3000.000000,390,1
585,1-NY1132-ASP-00-HG,12556,2000.000000,511,1
585,1-NY1132-ASP-00-HG,17063,200.000000,856,0
587,1-NY1132-BLK-00-HG,12558,300.000000,1123,0
587,1-NY1132-BLK-00-HG,12558,3000.000000,511,1
